signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
"Kbl 1981 A 66, 1-26","Brauer, Johannes",1057113778,Abstrakt,,Orig.-Radierungen,Leipzig,Scholle-Verlag,1981,330 x 210,135 x 100,,je 25.- DM (DDR),Abstrakte Malerei,26 Stück,
Kbl 1975 A 39,"Brauer, Johannes",1057113778,Divergenz,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1975,330 x 210,150 x 110,,40.- (DDR),Abstrakte Malerei,,
Kbl 1967 A 19,"Brauer, Johannes",1057113778,Schizophrene Kunst,Fan,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,328 x 225,165 x 113,,45.- DM (DDR),Abstrakte Malerei,4 Platten,
Kbl 1965 B 11,"Brauer, Johannes",1057113778,Schizophrene Kunst,Frühlingserwachen,Orig.-Vierplatten-Farbradierung,Leipzig,Scholle-Verlag,1965,420 x 300,218 x 156,,50.- DM (DDR),Abstrakte Malerei,Ideenbild?,
Kbl 1973 A 73,"Brauer, Johannes",1057113778,Schizophren. Aspekt,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1973,325 x 215,155 x 115,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1973 A 71,"Brauer, Johannes",1057113778,Schizophren. Erleuchtung,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1973,325 x 215,165 x 115,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1973 A 72,"Brauer, Johannes",1057113778,Schizophren. Rapuse,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1973,325 x 215,165 x 115,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1967 B 16,"Brauer, Johannes",1057113778,Moderne Kunst,Jugend,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,330 x 225,165 x 115,,45.- DM (DDR),Abstrakte Malerei,4 Platten,
Kbl 1967 A 17,"Brauer, Johannes",1057113778,Schizophrene Kunst,Das abgeschnittene Ohr,Orig.-Farbradierung,Leipzig,Scholle-Verlag,1967,370 x 240,220 x 157,,50.- DM (DDR),Abstrakte Malerei,4 Platten,
Kbl 1967 A 18,"Brauer, Johannes",1057113778,Schizophrene Kunst,Horrendes Phantom,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,328 x 225,167 x 115,,40.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1967 A 14,"Brauer, Johannes",1057113778,Schizophrene Kunst,Der Schatten im Vakuum,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,330 x 225,165 x 115,,40.- DM (DDR),Abstrakte Malerei,4 Platten,
Kbl 1967 A 51,"Brauer, Johannes",1057113778,Schizophrene Kunst,Urphenomen,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,330 x 220,165 x 115,,40.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1967 A 52,"Brauer, Johannes",1057113778,Schizophrene Kunst,"1,2,3",Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,370 x 240,230 x 160,,40.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1967 A 53,"Brauer, Johannes",1057113778,Schizophrene Kunst,"2,3,1",Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,370 x 240,230 x 160,,40.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1967 A 54,"Brauer, Johannes",1057113778,Schizophrene Kunst,"2,1,3",Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1967,370 x 240,230 x 160,,40.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1973 A 21,"Brauer, Johannes",1057113778,Strahlenkontakt,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1973,325 x 215,160 x 115,,18.- DM (DDR),Abstrakte Malerei,3 Platten,
Kbl 1969 B 1,"Brauer, Johannes",1057113778,"Tanz, enthüllt",,Orig.-Radierung,Leipzig,Scholle-Verlag,1968,410 x 290,250 x 155,,30.- DM (DDR),Abstrakte Malerei,,
Kbl 1977 A 30,"Brauer, Johannes",1057113778,Walhalla,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1975,330 x 210,160 x 110,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1977 A 27,"Brauer, Johannes",1057113778,Wallen,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1976,330 x 210,160 x 120,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1977 A 29,"Brauer, Johannes",1057113778,Weltall,,Orig.-Farbholzschnitt,Leipzig,Scholle-Verlag,1975,330 x 210,160 x 110,,40.- DM (DDR),Abstrakte Malerei,,
Kbl 1967 C 46,"Breilmann, Heino",174188978,Stille Liebe,,Mehrfarb. Lichtdruck,Düsseldorf,R. Schumacher,1963,423 x 608,308 x 507,,24.- DM (BRD),Abstrakte Malerei,KSCA Nr. 35/6,
Kbl 1969 A 6,"Casseé, Dick",132852012,[Zinkhochdruck],,Orig.-Zinkhochdruck,Olef,Olefer Hagarpresse Rolf Kuhn,1967,350 x 260,215 x 155,"Graphik- und Einzelblattedition d. Olefer Hagarpresse, Nr. 1",26.- DM (BRD),Abstrakte Malerei,10 Abzüge,
Kbl 1972 C 136,"Cavael, Rolf",118667548,Nr 59 F/11 [neunundfünfzig/F elf],,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,920 x 775,800 x 675,,70.- DM (BRD),Abstrakte Malerei,,
Kbl 1957 C 40,"Chagall, Mark",118519980,Les Plumes en fleurs,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,Dr. te Neues & Co,1957,670 x 520,560 x 407,,30.- DM (BRD),Abstrakte Malerei,,
Kbl 1961 B 38,"Dalvit, Oskar",118911511,Kreuzmotiv,horizontal,Sechsfarb. Offsetdruck,Zürich,Rascher,1961,385 x 515,350 x 465,,"sfr 13,50",Abstrakte Malerei,,
Kbl 1972 C 158,"Davie, Alan",119171627,Bird Spirit,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,520 x 590,400 x 500,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1969 C 20,"Derain, André",118524755,Reflexe auf dem Wasser,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1968,600 x 700,480 x 600,"Gradus-Blätter, G 3297",22.- DM (DDR),Abstrakte Malerei,,
Kbl 1967 C 87,"Dorwarth, Rainer",13324850X,"[Holzschnitt, zweifarbig]",,Orig.-Farbholzschnitt,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,670 x 530,570 x 440,,60.- DM (BRD),Abstrakte Malerei,20 Abzüge,
Kbl 1967 B 18,"Englert, Rudolf",118530445,[Radierung],,Orig.-Radierung,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,530 x 390,320 x 250,,70.- DM (BRD),Abstrakte Malerei,35 Abzüge,
Kbl 1967 B 20,"Englert, Rudolf",118530445,[Radierung],,Orig.-Radierung,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,530 x 390,320 x 250,,70.- DM (BRD),Abstrakte Malerei,35 Abzüge,
Kbl 1967 B 19,"Englert, Rudolf",118530445,"[Radierung, zweifarbig]",,Orig.-Farbradierung,Freiburg i. Br.,Johanna Schieesel,1966,530 x 390,350 x 204,,90.- DM (BRD),Abstrakte Malerei,35 Abzüge,
Kbl 1970 C 124 D/3,"Ernst, Max",118530895,Fiat modes - pereat ars,,Lithographie,Köln/Rh.,Schlömilch,1919,435 x 315,,,18.- M,Abstrakte Malerei,in Mappe ; Nachdruck (Berlin : Rainer Verlag 1970) 9 Bl. ; 8 Lithogr.,
Kbl 1960 C 85,"Feininger, Lyonel",118532308,"Der Dampfer ""Odin"" II",,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1960,685 x 940,545 x 810,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1958 C 33,"Feininger, Lyonel",118532308,[Gelmeroda.],,Mehrfarb. Lichtdruck,München,Hanfstaengl,1957,800 x 650,698 x 555,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 75,"Feininger, Lyonel",118532308,Nermsdorf I,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,560 x 810,400 x 670,"Piperdruck, Nr. 211",66.- DM (BRD),Abstrakte Malerei,,
Kbl 1971 C 184,"Feininger, Lyonel",118532308,Regamündung III,,Mehrfarb. Offsetdruck,Kempen-Niederrh.,Dr. te Neues,1962,590 x 925,465 x 765,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1971 C 117,"Feininger, Lyonel",118532308,Regenklarheit,,Mehrfarb. Lichtdruck,München,Bruckmann,1961,620 x 960,430 x 780,,55.- DM (BRD),Abstrakte Malerei,,
Kbl 1959 C 67,"Feininger, Lyonel",118532308,Segelpyramide,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1958,640 x 890,460 x 735,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1964 C 47,"Feininger, Lyonel",118532308,Silbersternen-Bild,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1964,630 x 490,510 x 390,"Gradus-Blätter, G 3243",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1971 C 155,"Feininger, Lyonel",118532308,Rosa Wolke II,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,540 x 840,430 x 770,,65.- DM (BRD),Abstrakte Malerei,,
Kbl 1968 C 72-1,"Fell, Peter",118686569,Akte I,Hrsg. V. Walter Aue,Mehrfarb. Orig.-Radierung,Köln,Hake,1964,400 x 400,200 x 200,,Preis nicht mitgeteilt,Abstrakte Malerei,"in Mappe ; 1 Bl. Text, 3 Taf.",
Kbl 1977 C 30,"Fuhrmann, Paul",,Technokratie,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1976,620 x 460,530 x 405,,10.- DM (DDR),Abstrakte Malerei,Konstruktivismus,
Kbl 1953 A 154,"Giacometti, Augusto",11869460X,[Bild],,Mehrfarb. Tiefdruck,Zürich,Rascher,1950,165 x 160,,,"sfr 3,50",Abstrakte Malerei,,
Kbl 1953 A 155,"Giacometti, Augusto",11869460X,[Frühmesse],,Mehrfarb. Tiefdruck,Zürich,Rascher,1950,225 x 290,145 x 205,,"sfr 3,50",Abstrakte Malerei,,
Kbl 1953 A 164,"Giacometti, Augusto",11869460X,[Siena],,Mehrfarb. Tiefdruck,Zürich,Rascher,1950,260 x 225,175 x 145,,"sfr 3,50",Abstrakte Malerei,,
Kbl 1956 C 120,"Gilles, Werner",118694952,Fischfang,,Mehrfarb. Offsetdruck,Kempen-Ndrh.,Dr. te Neues & Co,1956,490 x 655,375 x 560,,28.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 59,"Gilles, Werner",118694952,Hadesschlucht,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,450 x 570,325 x 465,,45.- DM (BRD),Abstrakte Malerei,,
Kbl 1958 C 43,"Gilles, Werner",118694952,Landschaft,,Mehrfarb. Lichtdruck,München,Piperdrucke,1957,505 x 610,330 x 460,"Piperdruck, Nr. 184",30.- DM (BRD),Abstrakte Malerei,,
Kbl 1958 C 42,"Gilles, Werner",118694952,Landschaft mit Bäumen,,Mehrfarb. Lichtdruck,München,Piperdrucke,1957,503 x 610,335 x 460,"Piperdruck, Nr. 183",30.- DM (BRD),Abstrakte Malerei,,
Kbl 1989 C 23,"Glöckner, Hermann",118539809,Ausschnitte,,Mehrfarb. Offsetdruck,Berlin,Staatlicher Kunsthandel der DDR,1988,570 x 810,552 x 728,,3,Abstrakte Malerei,,
Kbl 1969 A 7,"Gramberg, Michael",,[Serigraphie],,Mehrfarb. Orig.-Siebdruck,Olef,Olefer Hagarpresse Rolf Kuhn,1967,360 x 275,270 x 190,"Graphik- und Einzelblattedition d. Olefer Hagarpresse, Nr. 2",38.- DM (BRD),Abstrakte Malerei,,
Kbl 1976 C 15,"Grieshaber, H[elmut] A[ndreas] P[aul]",118639374,Die weiße Wolke,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1975,680 x 850,630 x 770,"Gradus-Blätter, G 3384",30.- DM (DDR),Abstrakte Malerei,,
Kbl 1971 C 167,"Gris, Juan",118697846,Album,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,680 x 800,555 x 700,,65.- DM (BRD),Abstrakte Malerei,,
Kbl 1980 C 2,"Gris, Juan",118697846,Die Violine,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1979,760 x 450,600 x 370,"Gradus-Blätter, G 3443",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1958 A 108,"Grosz, Georges",118542672,Begräbnis des Dichters Panizza,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1957,400 x 300,300 x 235,"Sammlung kleiner Drucke, S. 20",4.- DM (DDR),Abstrakte Malerei,,
Kbl 1989 C 8,"Hampel, Angela",119125013,Paarungen,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1988,500 x 585,400 x 535,"Gradus-Blätter, G 3484","ca 25,- DM (DDR)",Abstrakte Malerei,,
Kbl 1968 C 70,"Hanebeck, Gerd",105773972,[Radierungen],Hrsg. V. Walter Aue,Orig.-Radierung,Köln,Hake,1964,400 x 400,verschied. Bildgr.,,Preis nicht mitgeteilt,Abstrakte Malerei,"in Mappe ; 1 Bl. Text, 5 Taf.",
Kbl 1960 C 102,"Hopf, Heinz",,Schwingender Rhythmus,,Vierfarb. Offsetdruck,Stuttgart,Schuler,1959,615 x 760,435 x 600,Juwelblatt [Nr] 039,24.- DM (BRD),Abstrakte Malerei,,
Kbl 1983 C 70,"Horbeck, Günter",118553623,Der schiefe Turm,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1983,590 x 555,495 x 495,,10.- DM (DDR),Abstrakte Malerei,"BdK 1983, 1-4, 162",
Kbl 1971 C 118,"Hündeberg, Jürgen von",118553623,Aktives Weiß und Rot,,Mehrfarb. Lichtdruck,München,Bruckmann,1963,750 x 850,650 x 770,,45.- DM (BRD),Abstrakte Malerei,,
Kbl 1968 C 46,"Huijsman, Harri",,Radierung,,Orig.-Radierung,Olef,Olefer Hagarpresse Rolf Kuhn,1968,530 x 760,353 x 445,"Edition Ego, Nr. 4 ",58.- DM (BRD),Abstrakte Malerei,12 Abzüge,
Kbl 1968 C 47,"Huijsman, Harri",,Radierung,,Orig.-Radierung,Olef,Olefer Hagarpresse Rolf Kuhn,1968,760 x 530,445 x 353,"Edition Ego, Nr. 7",58.- DM (BRD),Abstrakte Malerei,12 Abzüge,
Kbl 1971 C 126,"Hundertwasser, [d.i. Fritz Stowasser]",118554786,Der große Weg,,Mehrfarb. Lichtdruck,München,Bruckmann,1965,820 x 820,730 x 740,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 120,"Jawlensky, [Alexej von]",118557157,Meditation,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,500 x 795,190 x 125 u. ähnl. Bildgr.,"Piperdruck, Nr. 222, 223, 224",Zusammen auf einem Blatt 47.- DM (BRD); einzeln je 18.- DM (BRD),Abstrakte Malerei,,
Kbl 1967 A 24,"Jawlensky, [Alexej von]",118557157,Mondlicht,,Mehrfarb. Autotypie,Esslingen,Fingerle & Co.,1962,300 x 210,260 x 195,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1956 C 215,"Jawlensky, [Alexej von]",118557157,[Straße bei Murnau],,Mehrfarb. Lichtdruck,München,Hanfstaengl,1956,600 x 640,595 x 540,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 76,"Jawlensky, [Alexej von]",118557157,Variation,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,710 x 520,525 x 382,"Piperdruck, Nr. 213",60.- DM (BRD),Abstrakte Malerei,,
Kbl 1953 C 16,"Kandinsky, Wassily",118559737,10 Farbenlichtdrucke nach Aquarellen u. Gouachen,ausgewählt und eingel. V. Max Bill,Mehrfarb. Lichtdruck,Basel,Holbein-Verlag,1919,385 x 285,240 x 240 u. versch. Gr.,,sfr 80.-,Abstrakte Malerei,"Im Kreis ; -Einfach ; -Studie zu e. Bild ; Vier Flecken ; -Reihen ; Le gros et le mince ; Monteé et descente ; -Horizontales ; -Blatt 688, Blatt 709 ; 6 Blatt, 10 Taf.",
Kbl 1957 B 353,"Kandinsky, Wassily",118559737,8 Farbtaf.,,Mehrfarb. Autotypie,Baden-Baden,Klein,1957,240 x 340,170 x 230 u. versch. Gr.,,"9,50 DM (BRD)",Abstrakte Malerei,"in Mappe ; 2 Bl. ; 8 Taf. ; Murnau - Bild mit schwarzem Bogen, Nr 154; - Roter Fleck, Nr 2, Nr 234. - Durchgehender Strich, Nr 255. - Bewegung, Nr 618. - Labiles Gleichgewicht, Nr 659. - Komposition 10. - Gegenseitige Übereinstimmung, Nr 687. - Farblitho Komposition (Umschlagbild)",
Kbl 1962 C 60,"Kandinsky, Wassily",118559737,Accord réciproque,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1962,730 x 900,630 x 795,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 52,"Kandinsky, Wassily",118559737,Berglandschaft mit Kirche,,Mehrfarb. Autotypie,München,Hanfstaengl,1959,500 x 650,330 x 465,,12.- DM (BRD),Abstrakte Malerei,,
Kbl 1981 C 26,"Kandinsky, Wassily",118559737,"Entwurf zu ""Improvisation 30""",,Mehrfarb. Lichtdruck,München,Piperdrucke Verlags-GmbH,1980,695 x 685,530 x 525,"Piperdruck, Nr. 274",80.- DM (BRD),Abstrakte Malerei,,
Kbl 1959 C 63,"Kandinsky, Wassily",118559737,Improvisation XIX,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1958,800 x 900,680 x 800,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1959 C 69,"Kandinsky, Wassily",118559737,Träumerische Improvisation,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1958,835 x 815,695 x 697,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 61,"Kandinsky, Wassily",118559737,Romantische Landschaft,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1959,700 x 900,575 x 800,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1955 C 345,"Kandinsky, Wassily",118559737,[Durchgehende Linie],,Mehrfarb. Lichtdruck,München,Hanfstaengl,1955,735 x 1000,625 x 895,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1950 C 21-67,"Kandinsky, Wassily",118559737,Spitzen im Boden,,Mehrfarb. Tiefdruck,"Luzern, Freudenstadt, Wien",Kunstkreis,1960,600 x 480,570 x 440,Kunstkreis Nr. 67,6,Abstrakte Malerei,"nebst Kommentar ; Wechselrahmen in Naturholz 12.50; Standard-Wechselrahmen 15.-; Sammelmappe sfr 3,50",
Kbl 1953 C 17,"Klee, Paul",118562827,10 Farbenlichtdrucke nach Aquarellen u. Temperablättern,ausgewählt u. eingel. v. Georg Schmidt,Mehrfarb. Lichtdruck,Basel,Holbein-Verlag,1948,380 x 285,200 x160 u. versch. Gr.,,,Abstrakte Malerei,"14 S., 10 Taf. ; Motiv aus Hammet. - Schiffsrevue. - Feuerwind. - Kampfszene aus der Oper Sindbad.  Lagunenstadt. - Ein Stübchen in Venedig. - Grün in Grün. -  Fruchtende Blüten",
Kbl 1957 C 4,"Klee, Paul",118562827,10 Farbenlichtdrucke nach Werken d. Sammlg Richard Doetsch-Benziger,Hrsg. V. Georg Schmidt,Mehrfarb. Lichtdruck,Basel,Phoebus-Verl.,1956,500 x 375,245 x 185 u. versch. Gr.,,sfr 125.-,Abstrakte Malerei,13 S. ; 10 Taf. In Passe-partout ; 1. Unter schwarzem Stern. - 2. Terrassierter Garten. - 3. Trocken-kühler Garten. - 4. Fischbild. - 5. Alte Stadt u. Brücke. - 6. Gartentor M. - 7. Pflanzen-analyhisches. - 8. Mit den beiden Verirrten. - 9. Blauäugige Fische. - 10. Schwarz noch am Ort,
Kbl 1960 C 12,"Klee, Paul",118462827,6 Kunstblätter f. Sammler,Einl.: L[ouis] Hertig,Mehrfarb. Tiefdruck,"Luzern, Freudenstadt",Kunstkreis,1959,430 x 355,330 x 230 u. versch. Gr.,Die großen Maler der Welt,sfr 9.-,Abstrakte Malerei,"in Mappe; 1 Bl, 6 Taf. ; Puppentheater. - Kampfszene aus d. komisch-phantastischen Oper ""Der Seefahrer"". - Tanzspiel d. Rotröcke. - Fundstelle. - Clown. - Stilleben.",
Kbl 1961 B 234,"Klee, Paul",118462827,8 Farbtaf.,,Mehrfarb. Autotypie,Baden-Baden,Klein,1959,240 x 340,190 x 225 u. versch. Gr.,,"9,50 DM (BRD)",Abstrakte Malerei,"in Mappe; Garten in St. Germain. - Niesen. - Frauenpavillon. - Kleines Tannenbild. - Landschaft mit gelben Vögeln. - Der Seefahrer. - Im Lande Edelstein. - Villa ""R"". - Orakel (Umschlagbild)",
Kbl 1973 C 150,"Klee, Paul",118462827,Ballettscene,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,450 x 520,300 x 380,"Piperdruck, Nr. 225",42.-,Abstrakte Malerei,,
Kbl 1960 A 52,"Klee, Paul",118462827,Bauchredner,Rufer im Moor,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,217 x 152,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1981 B 7,"Klee, Paul",118462827,Ein Blatt aus dem Städtebuch,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1980,500 x 390,420 x 300,"Gradus-Blätter, G 3456",,Abstrakte Malerei,,
Kbl 1973 C 111,"Klee, Paul",118462827,Finstere Bootsfahrt,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,480 x 575,290 x 415,"Piperdrucke, Nr. 253",45.-,Abstrakte Malerei,,
Kbl 1960 C 11,"Klee, Paul",118462827,Dämmerblüten,,Mehrfarb. Lichtdruck,München,Bruckmann,1959,445 x 860,340 x 780,,40.- DM (BRD),Abstrakte Malerei,,
