signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1943 A 102/8457,"Jensen, Christian Albrecht",118983598,Bildnis seiner Frau,,Dreifarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,215 x 280,190 x 240,"Meister der Farbe, 8457",1.- RM,Benannte Bildnisse ; I/J,,Farbdruck,,41536959,,,,
Kbl 1943 A 104/3,Michelangelo [Buonarroti],1093435844,Adam liegend,"Sixtinische Kapelle, Rom",Pigmentdruck,Köln,Bergen,1943,220 x 286,,"Bergers farbige Altmeister-Pigmente, 3",,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-1,Michelangelo [Buonarroti],1093435844,Gottvater in der Wolke,"Vatikan, Rom",Pigmentdruck,Köln,Berger,1943,290 x 215,,Bergers farbige Altmeister-Pigmente. 1,,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-2,Michelangelo [Buonarroti],1093435844,"Gottvater, Kopf","Vatikan, Rom",Pigmentdruck,Köln,Berger,1943,215 x 280,,Berges farbige Altmeister-Pigmente. 2,,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-4,Michelangelo [Buonarroti],1093435844,Kopf Adams,"Sixtinische Kapelle, Rom",Pigmentdruck,Köln,Berger,1943,215 x 290,,"Bergers farbige Altmeister-Pigmente, 4",,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-6,Michelangelo [Buonarroti],1093435844,Isaias,"Vatikan, Rom",Pigmentdruck,Köln,Berger,1943,220 x 280,,Bergers farbige Altmeister-Pigmente. 6,,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-7,Michelangelo [Buonarroti],1093435844,Joel,"Vatikan, Rom",Pigmentdruck,Köln,Berger,1943,215 x 280,,Bergers farbige Altmeister-Pigmente. 7,,Altes Testament,,Kohledruck,,968894259,,,,
Kbl 1943 A 104-8,Michelangelo Buonarroti,1093435844,"Sybilla eritra (Vatikan, Rom)",,Pigmentdruck,Köln,Berger,1943,215 x 280,,"Bergers farbige Altmeister-Pigmente, 8",,Sage,,Kohledruck,!041789199!,968894259,,,,
Kbl 1943 a 11,"Kampf, Arthur",118776649,Volksopfer,,Vierfarbendr.,München,F. Bruckmann,1943,275 x 205,225 x 165,,1,"II. Reproduktionen phatomech. u. sonstige Art, 1. Hochdrucke: Strichätzungen, Autotypien",,Farbdruck,,41536959,,,,
Kbl 1943 A 13,"Burkart, Albert",,"Christophorus, das Christkind auf den Schultern tragend",Teilstück,Lichtdruck,"Berlin, Freiburg i. Br.",Christophorus-Verlag,1943,460 x 365,330 x 235,,"2,50 RM",Heiligenbilder,,Lichtdruck,!041593936!,42736064,,,,
Kbl 1943 A 14,"Burkart, Albert",,"Christophorus, zum Christkind sich niederbeugend",,Lichtdruck,"Berlin, Freiburg i. Br.",Christophorus-Verlag,1943,370 x 455,235 x 330,,"2,50 RM",Heiligenbilder,,Lichtdruck,!041593936!,42736064,,,,
Kbl 1943 A 15,"Funck, Hildegard",,[Mädchen mit Vogel],,Farbenlichtdruck,Dresden,Brockmann,1943,300 x 100,210 x 260,,3.- RM,Mädchenbilder,,Lichtdruck,!042497426!,42736064,,,,
Kbl 1943 A 16,"Funck, Hildegard",,[Knabe mit Flöte],,Farbenlichtdruck,Dresden,Brockmann,1943,300 x 400,210 x 255,,3.- RM,Knabenbilder,,Lichtdruck,!042043026!,42736064,,,,
Kbl 1943 a 17,"Funck, Hildegard",,[Unter der Wäscheleine],,Farbenlichtdr.,Dresden,Brockmann,1943,485 x 300,,,"4,50","II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lichtdruck,,42736064,,,,
Kbl 1943 A 18,"Gerhardt, L[ina] E[lisabeth] Mar[garethe]",1140509314,[Teich mit Schwänen],,Farbenholzschn.,Berlin-Zehlendorf,Rau,1943,225 x 250,200 x 230,,60,Anonyme Motive,,Holzschnitt,,40257363,,,,
Kbl 1943 A 19,"Gerhardt, L[ina] E[lisabeth] Mar[garethe]",1140509314,[Havelkähne],,Farbenholzschn.,Berlin-Zehlendorf,Rau,1943,230 x 265,180 x 210,,54,"Bezeichnete Motive, Fluß und Bachmotive",,Holzschnitt,!041548930!,40257363,,,,
Kbl 1943 A 2,"Schlieben, H[edwig] v[on]",1036945928,Das Nannerl,,Farbenlichtdruck,Esslingen,Fingerle,1943,310 x 410,245 x 300,,4.- RM,Mädchenbilder,,Lichtdruck,!042497426!,42736064,,,,
Kbl 1943 a 21,"Gericke, W[illi]",118822314,"Stralsund, Markt mit Rathaus und Nikolaikirche",,Farb. Offsetdr.,Berlin,Verl. d. Vereinigt. Kunstanst.,1943,525 x 385,365 x 265,Alte deutsche Städte. 56,"3,50",,,Offsetdruck,,41333357,,,,
Kbl 1943 a 22,"Gericke, Willi",118822314,"Stettin, Hakenterrasse",,Farb. Offsetdr.,Berlin,Verl. D. Vereinigt. Kunstanst.,1943,525 x 385,365 x 265,Alte deutsche Städte. 57,"3,50",,,Offsetdruck,,41333357,,,,
Kbl 1943 A 30,"Druschka, Ann",,Wiesennelke,,Farb. Offsetdr.,Frankfurt a. M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Vergißmeinnicht",,Offsetdruck,!041127943!,41333357,,,,
Kbl 1943 A 31,"Druschka, Ann",,Butterblume,,Farb. Offsetdr.,Frankfurt a.M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Anemone",,Offsetdruck,!041127943!,41333357,,,,
Kbl 1943 A 32,"Druschka, Ann",,Glockenblume,,Farb. Offsetdr.,Frankfurt a. M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Glockenblume",,Offsetdruck,!041127943!,41333357,,,,
Kbl 1943 A 33,"Druschka, Ann",,Vergissmeinnicht,,Farb. Offsetdr.,Frankfurt a. M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Vergißmeinnicht",,Offsetdruck,!041127943!,41333357,,,,
Kbl 1943 A 34,"Druschka, Ann",,Wildes Stiefmütterchen,,Farb. Offsetdr.,Frankfurt a. M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Sonnenblumen",,Offsetdruck,!941234398!,41333357,,,,
Kbl 1943 A 35,"Druschka, Ann",,Spitzwegerich,,Farb. Offsetdr.,Frankfurt a. M.,Keller,1943,180 x 240,,,"1,25","Blumenbilder, Sonnenblumen",,Offsetdruck,!941234398!,41333357,,,,
Kbl 1943 a 36,"Fischer-Lentz, H[elma]",,Thorn [Johanniskirche],,Orig.Radierung,Berlin,Fils,1943,300 x 400,175 x 255,,4,,,Radierung,,40481662,,,,
Kbl 1943 a 37,"Fischer-Lentz, H[elma]",,Thorn [Totalansicht],,Orig.Radierung,,,,400 x 300,255 x 175,,4,,,Radierung,,40481662,,,,
Kbl 1943 a 38,"Fischer-Lentz, H[elma]",,"Thorn, Rathaus",,Orig.Radierung,Berlin,Fils,1943,400 x 300,255 x 175,,4,,,Radierung,,40481662,,,,
Kbl 1943 a 39,"Fischer-Lentz, H[elma]",,Thorn [Stadtmauer],,Orig.Radierung,Berlin,Fils,1943,400 x 300,255 x 175,,4,,,Radierung,,40481662,,,,
Kbl 1943 A 4,"Dürer, Albrecht",11852786X,Maria mit dem Kinde,,Vierfarbendruck,München,Bruckmann,1943,370 x 480,320 x 420,,9.- DM (BRD),Marienbilder,,Farbdruck,,41536959,,,,
Kbl 1943 A 40,"Kraus, Heinrich",,Mölders,,Photogravüre,München,Hanfstaengl,1943,370 x 525,265 x 355,,"3,60 RM",Benannte Bildnisse ; M,,Gravüre,,41581202,,,,
Kbl 1943 A 41,"Reinthaler, Franz",,"""Alles neu macht der Mai…""",,Farbenlichtdruck,München,Hanfstaengl,1943,480 x 400,380 x 270,"Hanfstaengl-Druck, 13595",9.- RM,Jahreszeiten ; Frühling,,Lichtdruck,!04130974X!,42736064,,,,
Kbl 1943 A 42,"Reinthaler, Franz",,Zaunkönige,,Farbenlichtdr.,München,Hanfstaengl,1943,435 x 480,350 x 350,Hanfstaengl-Druck. 13596,9,"Tierbilder, Vögel",,Lichtdruck,!041218787!,42736064,,,,
Kbl 1943 A 43,,,[Gauleiter Konrad Henlein],Aufn.: Gaubildstelle Sudetenland,Photogravüre,Reichenberg,Kraus,1943,295 x 380,225 x 290,,"1,50 RM",Benannte Bildnisse ; H,,Gravüre,,41581202,,,,
Kbl 1943 A 44,"Herzing, M[inni]",127526196,Einsame Birke,,Orig.-Radierung,[Berlin],Daco-Verlag,1943,210 x 300,105 x 145,,9.- DM,"Bäume und Sträucher, Birke",,Radierung,!95030400X!,40481662,,,,
Kbl 1943 a 45,"Herzing, M[inni]",127526196,Bach im Winter,,Orig.-Radierung,Berlin,Daco-Verl.,1943,335 x 250,175 x 125,,12,Anonyme Motive,,Radierung,,40481662,,,,
Kbl 1943 A 45,"Herzing, Minni",127526196,Bach im Winter,,Orig.-Radierung,[Berlin],[Daco-Verl.],1943,335 x 250,175 x 125,,12.- RM,Jahreszeiten ; Winter,,Radierung,!041899709!,40481662,,,,
Kbl 1943 A 46,"Herzing, M[inni]",127526196,Schloß Schwetzingen,,Orig.-Radierung,[Berlin],[Daco-Verlag],1943,250 x 335,145 x 195,,15.- RM,"Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,Radierung,!041266714!,40481662,,,,
Kbl 1943 A 47,"Herzing, M[inni]",127526196,Altes Schloß,,Orig.-Radierung,[Berlin],[Daco-Verlag],1943,255 x 340,135 x 195,,12.- RM,"Bauliche Motive, Schlösser und Burgen, Anonyme Motive",,Radierung,!041266714!,40481662,,,,
Kbl 1943 A 48,"Herzing, M[inni]",127526196,Im Park,,Orig.Radierung,Berlin,Daco-Verl.,1943,250 x 330,145 x 195,,12,Gartenbilder,,Radierung,!041213106!,40481662,,,,
Kbl 1943 a 49,"Herzing, M[inni]",127526196,Saaletal,,Orig.Radierung,Berlin,Daco-Verl.,1943,300 x 400,165 x 225,,20,"Bezeichnete Motive, Fluß und Bachmotive",,Radierung,!041548930!,40481662,,,,
Kbl 1943 A 5,"Zünd, Rob[ert]",,Gang nach Emmaus,,Vierfarbendr.,München,F. Bruckmann,[1943],310x240,280x210,,1,Neues Testament,,Farbdruck,,41536959,,,,
Kbl 1943 A 50,,,Nikolaus Kopernikus  [Porträt],,Kupfertiefdruck,Prag,Schulverl. Anst.,1943,210 x 305,200 x 285,,4.5,Benannte Bildnisse ; K,,Tiefdruck,,04060053X,,,,
Kbl 1943 A 51,"Dürer, Albrecht",11852786X,[Selbstbildnis],,Kupfertiefdruck,Prag,Schulverl. Anst.,1943,210 x 305,200 x 285,,4.5,Benannte Bildnisse ; D,,Tiefdruck,,04060053X,,,,
Kbl 1943 A 52,,,Wilhelm Conrad Röntgen [Porträt],,Kupfertiefdruck,Prag,Schulverlag Anst.,1943,210 x 305,200 x 285,,4.5,Benannte Bildnisse ; R,,Tiefdruck,,04060053X,,,,
Kbl 1943 A 53,,,[Ferdinand] Graf von Zeppelin,[Portrait],Kupfertiefdr.,Prag,Schulverl.Anst.,1943,210 x 305,200 x 285,Histor. Bilderdienst Berlin,"4,50","Bildnisse, benannt (Fort.)",,Tiefdruck,,04060053X,,,,
Kbl 1943 a 54,"Krüger, E[rich]",,Hügeliges Land,,Vierfarbendr.,Dresden,Brockmann,1943,450 x 350,400 x 300,,4,Anonyme Motive,,Farbdruck,,41536959,,,,
Kbl 1943 A 55,"Krüger, E[rich]",,Ins weite Land,,Vierfarbendruck,Dresden,Brockmann,1943,450 x 345,400 x 300,,4.- RM,"Flachland, Anonyme Landschaften",,Farbdruck,!962679267!,41536959,,,,
Kbl 1943 a 56,"Adamus, L[udwig]",1032963980,"Wien, Beethovenhaus in Heiligenstadt",,Farb. Orig.-Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 57,"Adamus, L[udwig]",1032963980,"Wien, Graben",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 58,"Adamus, L[udwig]",1032963980,"Wien, Grinzing",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 59,"Adamus, L[udwig]",1032963980,"Wien, Kärnterstraße",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 6,"Thoma, Hans",118622064,Das wandernde Bächlein,,Vierfarbendr.,München,F. Bruckmann,1943,200 x 240,170 x 215,,1,Anonyme Motive,,Farbdruck,,41536959,,,,
Kbl 1943 a 60,"Adamus, L[udwig]",1032963980,"Wien, Kärnterstraße [Oper]",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 61,"Adamus, L[udwig]",1032963980,"Wien, Nussdorf",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 62,"Adamus, L[udwig]",1032963980,"Wien, Rathaus",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 A 64,"Adamus, Ludwig",1032963980,"Wien, Seitzergasse",,Farb. Orig.Radierung,Wien,Bilder-Redl,1942,230 x 298,146 x 166,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 65,"Adamus, L[udwig]",1032963980,"Wien, Schönlaterngasse",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1943 a 7,"Huber-Sulzemoos, H[ans]",127948449,Rotkehlchen,,Vierfarbendr.,München,F. Bruckmann,1943,270 x 240,240 x 210,,1,"Tierbilder, Vögel",,Farbdruck,!041218787!,41536959,,,,
Kbl 1943 A 8,"Dillis, Johann Georg von",118671979,Blick auf den Tegernsee,,Vierfarbendr.,München,Bruckmann,1943,270 x 205,225 x 170,,1,Bezeichnete Motive,,Farbdruck,,41536959,,,,
Kbl 1943 a 9,"Friedrich, Caspar David",118535889,Das Kreuz im Gebirge (Der Tetschener Altar),,Vierfarbendr.,München,Bruckmann,1943,180 x 200,160 x 165,,65,Anonyme Motive,,Farbdruck,,41536959,,,,
Kbl 1943 AC 123,"Hodler, Ferdinand",118551817,Schlacht bei Murten,,Farb. Offsetdruck,Zürich,Rascher,1942,1050 x 735,935 x 610,,sfr 16.-,Schweiz,,Offsetdruck,!041200276!,41333357,,,,
Kbl 1943 B 1,"Menzel, Adolf von",118580914,Garten des Prinz-Albrecht-Palais in Berlin,,Farbenlichtdr.,Berlin,Reichsdruckerei [Abt. Verl.],1943,850 x 750,810 x 700,,40,Gartenbilder,,Lichtdruck,!041213106!,42736064,,,,
Kbl 1943 B 10,"Bronzino, [Angelo]",119168774,Eleonore von Toledo,,Farbenlichtdruck,München,Piperdrucke,1943,550 x 740,425 x 590,"Piperdruck, Nr 154",35.-RM,Benannte Bildnisse ; E,,Lichtdruck,,42736064,,,,
Kbl 1943 B 11,"Heemskerck, [Martin van]",118547658,Junges Mädchen,,Farbenlichtdruck,München,Piperdrucke,1943,565 x 740,385 x 530,"Piperdruck, 150",27.- RM,Mädchenbilder,,Lichtdruck,!042497426!,42736064,,,,
Kbl 1943 B 12,"Meindl, [Albert]",,Seebensee mit Wetterstein,,Farbenlichtdr.,Dresden,Brockmann,1943,880 x 680,800 x 600,,20,Bezeichnete Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 B 13,"Wittmann, Ch[ristian]",106254692X,Sonnenrosen mit Rittersporn,,Farbenlichtdr.,Dresden,Brockmann,1943,625 x 750,560 x 640,,20,"Blumenbilder, Primeln",,Lichtdruck,!97801233X!,42736064,,,,
Kbl 1943 B 14,"Willrich, Wolf",117395269,Grossadmiral Raeder,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,500 x 660,300 x 425,,8.- RM,Benannte Bildnisse ; R,,Lichtdruck,,42736064,,,,
Kbl 1943 B 15,"Eichhorst, Franz",116417404,Ein deutscher Soldat,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,500 x 665,360 x 430,,10.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 16,"Tüttelmann, K[arl]",189460962,Soldatischer Kopf,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,495 x 640,280 x 430,,"7,50 RM",Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 17,"Tüttelmann, K[arl]",189460962,Soldat mit Stahlhelm,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,505 x 640,310 x 430,,"7,50 RM",Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 18,"Kretschmann, E[rnst]",,Panzerspähmann,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,495 x 660,360 x 555,,8.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 19,"Lutz, Joachim",,Gefreiter D,,Kupfertiefdruck,Frankfurt a. M.,Keller,1943,500 x 630,350 x 440,,6.- RM,Ständebilder ; Soldaten,,Tiefdruck,!041319885!,04060053X,,,,
Kbl 1943 B 2,"Destouches, Paul E[mile]",,Erwachen,,Vierfarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,480 x 640,400 x 500,Farbige Kopien 507,,Mädchenbilder,,Farbdruck,!042497426!,41536959,,,,
Kbl 1943 B 20,"Engelhardt-Kyffhäuser, Otto",119423650,Nach der Flucht der Engländer,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,720 x 660,675 x 610,,18.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 21,"Padua, Paul [Martin]",,Der Panzerführer,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,790 x 660,700 x 555,,25.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 b 22,"Blossfeld, Karl",1023515261,Seemacht,,Farbenlichtdr.,München,Hanfstaengl,1943,100 x 730,915 x 610,Hanfstaengl-Druck. 13609,27,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 B 23,"Hengstenberg, R[udolf]",,Die Ersten in Dijon,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,895 x 645,750 x 520,,12.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 24,"Hengstenberg, R[udolf]",,Durchbruch durch die burgundische Pforte,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,1000 x 650,780 x 495,,12.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 B 25,"Lipus, R[udolf]",117676055,Panzer im Kampf,,Farbenlichtdruck,Frankfurt a. M.,Keller,1943,890 x 700,775 x 630,,12.- RM,Ständebilder ; Soldaten,,Lichtdruck,!041319885!,42736064,,,,
Kbl 1943 b 26,"Fenkohl, Gustav",116463228,Am Kurischen Haff,,Farbenlichtdr.,München,Hanfstaengl,1943,1000 x 730,900 x 620,Hanfstaengl-Druck. 13593,27,"Meer, Bezeichnete Motive",,Lichtdruck,!041692357!,42736064,,,,
Kbl 1943 b 27,"Franke, Hanny",116714441,Die Wasserkuppe,,Farbenlichtdr.,München,Hanfstaengl,1943,900 x 700,795 x 595,Hanfstaengl-Druck. 13588,18,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Lichtdruck,!041561457!,42736064,,,,
Kbl 1943 B 28,"Strich-Chapell, W[alther]",117318310,Hohenstaufen,,Farblichtdruck,München,Hanfstaengl,1943,950 x 730,850 x 620,"Hanfstaengl-Druck, 13591","22,50 RM","Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,Lichtdruck,!041266714!,42736064,,,,
Kbl 1943 B 29,"Massow, P[aul]",,Flox,,Farbenlichtdr.,Frankfurt a.O.,Kunstverl. Trowitzsch,1943,670 x 605,635 x 570,,18,"Blumenbilder, Flieder",,Lichtdruck,!952728265!,42736064,,,,
Kbl 1943 B 3,"Waldmüller, Ferd[inand] Georg",133365573,Praterlandschaft,,Dreifarbendruck,Leipzig,"Verlag ""Meister der Farbe"" [jetzt: Seemann und Co]",1943,640 x 480,510 x 400,"Farbige Kopien, 508",5.- RM,"Flachland, Bezeichnete Landschaften",,Farbdruck,!962679267!,41536959,,,,
Kbl 1943 B 30,"Rembrandt, Harmensz van Rijn",11859964X,Selbstbildnis,,Farbenlichtdruck,Frankfurt a. O.,Kunstverlag Trowitzsch,1943,485 x 640,465 x 615,,25.- RM,Benannte Bildnisse ; R,,Lichtdruck,,42736064,,,,
Kbl 1943 B 31,"Dreyer, Fritz",,Generaloberst der Polizei Daluege,,Mehrfarbdruck,Berlin-Schöneberg,Verl. Dt. Kultur-Wacht,1942,540 x 440,490 x 400,,15.- RM,Benannte Bildnisse ; D,"Dass. Unaufgezogen 15.- ; Dass. 325 x 265 (305 x 250) 4.- ; Dass. Unaufgezogen 3,50",Farbdruck,,41536959,,,,
Kbl 1943 b 32,"Wegener, Adolf",,Bauernhäuser,,Kupfertiefdr.,München,F.A. Ackermann,1943,800 x 645,570 x 400,,15,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Tiefdruck,!041561457!,04060053X,,,,
Kbl 1943 b 33,"Wegener, A[dolf]",,Im Stubaital,,Kupfertiefdr.,München,F.A. Ackermann,1943,770 x 640,570 x 400,,15,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Tiefdruck,!041561457!,04060053X,,,,
Kbl 1943 B 34,"Wegener, Ad[olf]",,Eibsee,,Kupfertiefdr.,München,F. A. Ackermann,1943,800 x 640,470 x 450,,15,Bezeichnete Motive,,Tiefdruck,,04060053X,,,,
Kbl 1943 B 35,"Kempin, Kurt",116127368,Ponte Rotto,,Farb. Kupfertiefdr.,Berlin-Zehlendorf,Rau,1943,760 x 575,480 x 400,Italienische Landschaften,15,"Bezeichnete Motive, Fluß und Bachmotive",,Tiefdruck,!041548930!,04060053X,,,,
Kbl 1943 B 36,"Herzing, Hanns",1122463952,Am Hüttenfenster,,Farbenlichtdruck,Dresden,May,1943,620 x 740,620 x 500,"Sartos-Druck, 5719",9.- RM,Bäuerliche Motive,,Lichtdruck,!942155386!,42736064,,,,
Kbl 1943 B 37,"Stoskopf, [Gustav]",117304778,Esässischer Bauer,,Farbenlichtdruck,Berlin,Grauert & Zink,1943,650 x 850,570 x 685,,27.- RM,Landschaftlich gebundene Bildnisse,,Lichtdruck,!04114354X!,42736064,,,,
Kbl 1943 B 38,"Gönner, Ph[ilipp]",1236025962,Erntezeit,,Offsetdruck,Berlin-Wilm.,Grauert und Zink,1943,800 x 635,600 x 440,,12.- DM,Jahreszeiten ; Ernte,,Offsetdruck,!952728230!,41333357,,,,
